search URL:,https://patents.google.com/?q=%28%22educational+data+mining%22+OR+%22learning+analytics%22%29+AND+%28%22artificial+intelligence%22+OR+AI+OR+ML+OR+DL+OR+NLP%29&oq=%28%22educational+data+mining%22+OR+%22learning+analytics%22%29+AND+%28%22artificial+intelligence%22+OR+AI+OR+ML+OR+DL+OR+NLP%29
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
CN-113033808-A,Deep embedded knowledge tracking method based on exercise difficulty and student ability ,西北大学,"冯筠, 赵艾琦, 孙霞, 许秉圣",2021-03-08,2021-03-08,2021-06-25,,https://patents.google.com/patent/CN113033808A/en,https://patentimages.storage.googleapis.com/7d/af/ca/581ab11dbf9745/HDA0002966006400000011.png
WO-2023015483-A1,Method and apparatus for prerequisite relation discovery for concepts of a plurality of courses ,"Robert Bosch Gmbh, Tsinghua University","Evgeny Kharlamov, Jie Tang, Jifan YU, Juanzi LI, Lei HOU, Zhiyuan Liu, Maosong SUN, Gan LUO",2021-08-11,2021-08-11,2023-02-16,,https://patents.google.com/patent/WO2023015483A1/en,https://patentimages.storage.googleapis.com/8d/d5/87/e0285481318715/PCTCN2021112049-appb-300001.png
US-11631338-B2,Deep knowledge tracing with transformers ,"Act, Inc.","Shi PU, Michael Yudelson, Lu Ou, Yuchi Huang",2020-06-11,2020-06-11,2023-04-18,2023-04-18,https://patents.google.com/patent/US11631338B2/en,https://patentimages.storage.googleapis.com/b5/f3/6b/e6da0eb50f6744/US11631338-20230418-D00000.png
CN-113505589-A,BERT model-based MOOC learner cognitive behavior identification method ,华中师范大学,"刘智, 刘三女牙, 杨宗凯, 孔玺, 陈浩, 戴志诚",2021-07-15,2021-07-15,2021-10-15,,https://patents.google.com/patent/CN113505589A/en,https://patentimages.storage.googleapis.com/98/7a/80/dd63a18b49ac1b/HDA0003165212190000011.png
US-9704102-B2,Sparse factor analysis for analysis of user content preferences ,William Marsh Rice University,"Richard G. Baraniuk, Andrew S. Lan, Christoph E. Studer, Andrew E. Waters",2013-03-15,2014-03-15,2017-07-11,2017-07-11,https://patents.google.com/patent/US9704102B2/en,https://patentimages.storage.googleapis.com/cc/61/88/64bbbba7edaa38/US09704102-20170711-D00000.png
US-2020234605-A1,"Telecommunications - enabled semitransparent thought- directed cognitive and conceptual communication linkage method for a workplace brain/cognitive education, training, and augmentation program ",Laird Harrison Shuart,Laird Harrison Shuart,2019-01-17,2019-12-16,2020-07-23,,https://patents.google.com/patent/US20200234605A1/en,https://patentimages.storage.googleapis.com/22/d7/3b/90f4ef27b9a7a6/US20200234605A1-20200723-D00000.png
US-11551570-B2,Systems and methods for assessing and improving student competencies ,Smarthink Srl,"Lucilla Crosta, Riccardo Cattaneo, Giovanni Bettinazzi, Andrea Solazzo, Luca Butera",2018-02-15,2019-02-15,2023-01-10,2023-01-10,https://patents.google.com/patent/US11551570B2/en,https://patentimages.storage.googleapis.com/67/0a/6c/9d29fa6d0edb44/US11551570-20230110-D00000.png
KR-102636580-B1,A system that provides evaluation services for measuring self-directed learning capabilities based on smart devices ,주식회사 아이스크림에듀,"현주은, 김지하, 박유진, 이지근",,2022-10-20,2024-02-16,2024-02-16,https://patents.google.com/patent/KR102636580B1/en,
US-2015170536-A1,Time-Varying Learning and Content Analytics Via Sparse Factor Analysis ,William Marsh Rice University,"Shiting Lan, Christoph E. Studer, Richard G. Baraniuk",2013-12-18,2014-12-18,2015-06-18,,https://patents.google.com/patent/US20150170536A1/en,https://patentimages.storage.googleapis.com/d3/10/2d/ae1c917b5ae215/US20150170536A1-20150618-D00000.png
CN-110264091-A,Student's cognitive diagnosis method ,中国科学技术大学,"刘淇, 陈恩红, 汪飞, 黄振亚, 陈玉莹, 阴钰, 黄仔",2019-06-24,2019-06-24,2019-09-20,,https://patents.google.com/patent/CN110264091A/en,
