id,Patent number,link,title,inventor name,date,num pages
3301,US-20230067108-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230067108,COMPUTER ANALYSIS OF ROUTING DATA ENABLED FOR AUTONOMOUS OPERATION AND CONTROL,Dixit J; Prasanna Kumar et al.,2023-03-02,20
3302,US-20230067274-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230067274,INCOMPLETE PROBLEM DESCRIPTION DETERMINATION FOR VIRTUAL ASSISTANT USER INPUT HANDLING,Devendran; Saravanan et al.,2023-03-02,21
3303,US-20230067473-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230067473,SYSTEM AND METHOD FOR PRIVACY-PRESERVING ONLINE PROCTORING,CHAKRADHAR; Anjali,2023-03-02,11
3304,US-20230067755-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230067755,SUSTAINABLE RESOURCES EXCHANGE METHOD AND SYSTEM,Raj; Sahil et al.,2023-03-02,25
3305,US-20230062700-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230062700,AUGMENTED REALITY BASED USER INTERFACE CONFIGURATION OF MOBILE AND WEARABLE COMPUTING DEVICES,Decrop; Clement et al.,2023-03-02,16
3306,US-20230064338-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230064338,END-TO-END PRIVACY ECOSYSTEM,Lu; Marvin et al.,2023-03-02,27
3307,US-20230065559-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230065559,END-TO-END PRIVACY ECOSYSTEM,Lu; Marvin et al.,2023-03-02,27
3308,US-20230065543-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230065543,SCORING CAREGIVERS AND TRACKING THE DEVELOPMENT OF CARE RECIPIENTS AND RELATED SYSTEMS AND METHODS,Plath; Monica et al.,2023-03-02,61
3309,US-20230065759-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230065759,AUTOMATED MANAGEMENT OF CARE RECIPIENT TREATMENT REGIMENS,Bacarella; David et al.,2023-03-02,15
3310,US-20230065820-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230065820,TELEHEALTH AND MICRODOSING PLATFORM FOR PSYCHEDELIC-ASSISTED THERAPY,"Atanasio, JR.; Charles John et al.",2023-03-02,27
3311,US-20230065847-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230065847,NETWORK BANDWIDTH CONSERVATION DURING VIDEO CONFERENCING,Sipcic; Slobodan et al.,2023-03-02,16
3312,US-20230067671-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230067671,BISTATIC CHANNEL ESTIMATION USING RANGING FEEDBACK,KUMARI; Preeti et al.,2023-03-02,39
3313,US-20230067963-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230067963,Catalyst for Connections,Brown; Jessie,2023-03-02,25
3314,US-20230068437-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230068437,USING USER-SIDE CONTEXTUAL FACTORS TO PREDICT CELLULAR RADIO THROUGHPUT,Narayanan; Arvind et al.,2023-03-02,29
3315,US-20230066524-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230066524,MANAGEMENT OF DEVICES IN A SMART ENVIRONMENT,Karri; Venkata Vara Prasad et al.,2023-03-02,16
3316,US-20230061268-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230061268,DISTRIBUTED MACHINE LEARNING USING SHARED CONFIDENCE VALUES,Schardt; Paul et al.,2023-03-02,25
3317,US-20230063247-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230063247,PERSONALIZED RECOMMENDATION SYSTEM,Conjeti; Sailesh et al.,2023-03-02,19
3318,US-20230061157-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230061157,ADJUSTING VIDEO CONTENT BASED ON AUDIENCE EXPERIENCES,Perumalla; Saraswathi Sailaja et al.,2023-03-02,18
3319,US-20230063441-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230063441,IMAGE PROCESSING AND PRESENTATION TECHNIQUES FOR ENHANCED PROCTORING SESSIONS,Kramer; Nicholas Atkinson et al.,2023-03-02,55
3320,US-20230065173-A1,https://ppubs.uspto.gov/dirsearch-public/print/downloadPdf/20230065173,"CAUSAL RELATION INFERENCE DEVICE, CAUSAL RELATION INFERENCE METHOD, AND RECORDING MIDEUM",SHIBAHARA; Takuma et al.,2023-03-02,16
